text,date,user
[Media-image] https://ton.twitter.com/1.1/ton/data/dm/815637525092073476/815637426421043204/GIEievCP.jpg,2017-01-01 11:15:14,WISE Up Action
hahaha,2017-01-01 11:18:10,Emmy B
[Card-summary_large_image] http://www.euractiv.com/section/public-affairs/news/sweden-introduces-pro-whistleblowers-law/,2017-01-03 06:57:30,WISE Up Action
[Card-summary_large_image] https://www.washingtonpost.com/news/the-fix/wp/2017/01/04/how-some-republicans-learned-to-stop-worrying-and-love-julian-assange/?utm_term=.667dc621f1f4 https://www.washingtonpost.com/news/the-fix/wp/2017/01/04/how-some-republicans-learned-to-stop-worrying-and-love-julian-assange/?utm_term=.667dc621f1f4,2017-01-04 13:00:51,WISE Up Action
nice one! 🙂,2017-01-04 13:05:53,Emmy B
Pence on Trump quoting JA “Healthy sceptisism of president elect towards intelligence services” http://www.thenewstribune.com/news/business/article124444629.html,2017-01-04 13:36:35,Emmy B
"Whether it was a horribly mistaken or not, the election clearly showed how angry the average American is with the Washington power structure. Even if Trump’s a narcissistic moron, I was still relieved to see Clinton go down. And greetings from the geographical center of the US. My first full day in Kansas City.",2017-01-04 13:43:17,LibertarianLibrarian
Lovely to see you are back Jenny <3,2017-01-04 13:47:05,Emmy B
"Do you think we should start a petition to Trump to pardon Chelsea Manning? The world is topsy turvy, could he do it?",2017-01-04 13:48:00,Emmy B
"Trump could do it. He basically is focused on his own celebrity. Appeal to that. But I suspect that like Obama, he’ll be controlled.",2017-01-04 14:02:01,LibertarianLibrarian
"A good point there! I keep thinking of the gravy train with US/UK arming Saudia Arabia how many orders are in the pipeline… billions, and how his re-approachment with Russia is undermining decades worth of US/UK policy propping up islamists and others to counteract Russia, The British Empire followed the same policy before the Soviet Era. How on earth Trump is going to be allowed to go forward with a change in foreign policy?A recent Greek PM Karamanlis who tried to re-approach with Russia (without compromising Greece’s commitment to Nato) and the Pythia op planned his assassination by US interests, he resigned before the end of his term triggering an election. How far would such interests go to protect the existing foreign policy?",2017-01-04 14:13:19,Emmy B
