date,n
2015-05-01,65
2015-05-02,38
2015-05-03,104
2015-05-04,31
2015-05-05,85
2015-05-06,87
2015-05-07,106
2015-05-08,61
2015-05-09,13
2015-05-10,18
2015-05-11,48
2015-05-12,35
2015-05-13,26
2015-05-14,25
2015-05-15,61
2015-05-16,39
2015-05-17,26
2015-05-18,33
2015-05-19,27
2015-05-20,38
2015-05-21,14
2015-05-22,40
2015-05-25,1
2015-05-26,37
2015-05-27,4
2015-05-28,34
2015-05-29,5
2015-05-30,17
2015-05-31,10
2015-06-01,14
2015-06-02,41
2015-06-03,19
2015-06-04,45
2015-06-05,31
2015-06-06,4
2015-06-07,2
2015-06-08,22
2015-06-09,21
2015-06-10,46
2015-06-11,111
2015-06-12,53
2015-06-13,102
2015-06-14,36
2015-06-15,25
2015-06-16,16
2015-06-17,75
2015-06-18,48
2015-06-19,37
2015-06-20,11
2015-06-21,38
2015-06-22,16
2015-06-23,29
2015-06-24,39
2015-06-25,11
2015-06-26,33
2015-06-27,3
2015-06-28,50
2015-06-29,8
2015-06-30,21
2015-07-01,17
2015-07-02,41
2015-07-03,28
2015-07-04,20
2015-07-05,39
2015-07-06,53
2015-07-07,12
2015-07-08,21
2015-07-09,10
2015-07-10,33
2015-07-11,8
2015-07-12,103
2015-07-13,59
2015-07-14,14
2015-07-15,36
2015-07-16,21
2015-07-17,26
2015-07-18,8
2015-07-19,18
2015-07-20,14
2015-07-21,5
2015-07-22,28
2015-07-23,24
2015-07-24,43
2015-07-25,56
2015-07-26,3
2015-07-27,28
2015-07-28,9
2015-07-29,10
2015-07-30,2
2015-07-31,2
2015-08-01,8
2015-08-02,4
2015-08-03,2
2015-08-04,1
2015-08-05,8
2015-08-06,20
2015-08-07,5
2015-08-08,5
2015-08-09,2
2015-08-10,48
2015-08-11,23
2015-08-12,27
2015-08-13,4
2015-08-14,3
2015-08-15,1
2015-08-16,9
2015-08-17,3
2015-08-18,140
2015-08-19,85
2015-08-20,15
2015-08-21,19
2015-08-22,3
2015-08-23,2
2015-08-24,27
2015-08-25,36
2015-08-26,12
2015-08-27,27
2015-08-28,38
2015-08-29,25
2015-08-30,5
2015-08-31,89
2015-09-01,58
2015-09-02,64
2015-09-03,42
2015-09-04,13
2015-09-05,26
2015-09-06,2
2015-09-07,13
2015-09-08,25
2015-09-09,21
2015-09-10,4
2015-09-11,24
2015-09-12,37
2015-09-13,24
2015-09-14,54
2015-09-15,26
2015-09-16,9
2015-09-17,13
2015-09-18,108
2015-09-19,1
2015-09-20,34
2015-09-21,48
2015-09-22,19
2015-09-23,3
2015-09-24,7
2015-09-25,7
2015-09-26,7
2015-09-27,2
2015-09-28,28
2015-09-29,10
2015-09-30,38
2015-10-01,20
2015-10-02,25
2015-10-03,21
2015-10-04,10
2015-10-05,4
2015-10-06,4
2015-10-07,9
2015-10-09,27
2015-10-10,8
2015-10-11,62
2015-10-12,38
2015-10-13,32
2015-10-14,43
2015-10-15,53
2015-10-16,12
2015-10-17,10
2015-10-18,21
2015-10-19,45
2015-10-20,84
2015-10-21,62
2015-10-22,33
2015-10-23,27
2015-10-24,11
2015-10-25,7
2015-10-26,25
2015-10-27,7
2015-10-28,14
2015-10-29,29
2015-10-30,44
2015-11-01,6
2015-11-02,45
2015-11-03,11
2015-11-04,73
2015-11-05,56
2015-11-06,36
2015-11-07,61
2015-11-08,78
2015-11-09,47
2015-11-10,27
2015-11-11,20
2015-11-12,6
2015-11-13,76
2015-11-14,51
2015-11-15,92
2015-11-16,32
2015-11-17,16
2015-11-18,15
2015-11-19,38
2015-11-20,16
2015-11-21,27
2015-11-22,20
2015-11-23,16
2015-11-24,63
2015-11-25,25
2015-11-26,30
2015-11-27,21
2015-11-28,3
2015-11-29,19
2015-11-30,26
2015-12-01,6
2015-12-02,7
2015-12-03,10
2015-12-04,32
2015-12-05,2
2015-12-06,5
2015-12-07,54
2015-12-08,7
2015-12-09,10
2015-12-10,33
2015-12-11,56
2015-12-12,32
2015-12-14,18
2015-12-15,10
2015-12-16,12
2015-12-17,15
2015-12-18,15
2015-12-19,16
2015-12-20,17
2015-12-21,5
2015-12-22,7
2015-12-23,1
2015-12-24,3
2015-12-28,6
2015-12-29,7
2015-12-30,3
2015-12-31,10
2016-01-01,8
2016-01-03,11
2016-01-04,2
2016-01-05,3
2016-01-06,14
2016-01-07,10
2016-01-08,1
2016-01-09,24
2016-01-10,4
2016-01-11,13
2016-01-12,18
2016-01-13,25
2016-01-14,11
2016-01-15,9
2016-01-16,1
2016-01-17,1
2016-01-18,7
2016-01-19,2
2016-01-20,4
2016-01-21,31
2016-01-22,15
