text,date,user
A little side note re. Bundestag Inquiry into NSA:,2015-05-14 20:12:44,Cabledrum
"Johannes Eisenberg, a (former?) lawyer of WL, served as legal adviser for seven witnesses, all from BND, incl. General Breitfelder.",2015-05-14 20:12:48,Cabledrum
"Of course, everyone has the right to legal assistance.",2015-05-14 20:12:55,Cabledrum
"But obviously, Eisenberg is a contractor of the BND. That doesn’t make him necessarily trustworthy.",2015-05-14 20:13:01,Cabledrum
"First of all, the documents show how all concerned parties systematically try to block the work of the inquiry commission.",2015-05-15 06:00:41,Cabledrum
"The witnesses from BND and Telekom “can’t remember”, “was not responsible”, “do not know” and so on",2015-05-15 06:01:04,Cabledrum
"For instance, the former CEO of Telekom, Kai-Uwe Ricke, had a four-eyes-meeting with the chief of the BND…",2015-05-15 06:01:51,Cabledrum
…but can’t remember what they’ve been talking about,2015-05-15 06:01:55,Cabledrum
"The newspaper article you mentioned, “Kauder and Maaßen criticize WikiLeaks”, comes from the “Welt”, a very conservative newspaper",2015-05-15 06:02:33,Cabledrum
Volker Kauder (CDU parliamentary leader) is a conservative hardliner.Hans-Georg Maaßen is the chief of Germany’s domestic secret service BfV,2015-05-15 06:03:42,Cabledrum
Kauder criticizes that the WL release “might threaten the cooperation of German secret services with the NSA”,2015-05-15 06:04:03,Cabledrum
"(hopefully, he’s right)",2015-05-15 06:06:25,Cabledrum
"Great find, Emmy! Imho, we can tweet it. It’s archived and several witnesses have seen it. It doesn’t matter whether he deletes the tweets",2015-05-18 09:56:29,Cabledrum
"Grmpf, ok. 3 days left until court decision…",2015-05-18 10:51:44,Cabledrum
"Very good, Emmy! This is evidence for both, the forum and the twitter acc. The forum post is still online with his name on the screenshots",2015-05-19 04:01:09,Cabledrum
Jenny : “Catch him by surprise in court” doesn’t work out in Germany. All evidence has to be presented to the court in advance 🙁,2015-05-19 04:04:17,Cabledrum
"Emmy: No, the screenshots at FWLF are not cropped, his name is clearly visible.. Note the scrollbar at the bottom..",2015-05-19 20:15:54,Cabledrum
"Emmy: Yes, captured on archive.is and wayback machine, both with working scrollbar https://archive.is/pq4qKhttp://web.archive.org/web/20150520123726/http://www.wikileaks-forum.com/atgreekemmy-aka-emilia-butlin/634/the-weird-world-of-assange-groupie-humor/33797/",2015-05-20 05:44:26,Cabledrum
"I’ve just received a new preliminary injunction, for this tweet: https://archive.is/Qbu99",2015-05-20 11:15:26,Cabledrum
I’ve removed this tweet 3 day later by request of [MGT]’s lawyer.,2015-05-20 11:15:29,Cabledrum
"I have no idea why they seek a preliminary injunction, in spite of the fact that the concerned tweet has already been removed",2015-05-20 11:15:35,Cabledrum
Today’s court decision in my case has been postponed until tomorrow for technical reasons,2015-05-21 06:40:52,Cabledrum
"There has been a “fairly final” decision in PC’s case, but I don’t know any details yet",2015-05-21 06:41:17,Cabledrum
"Bad news: As it seems, the court has rejected PC’s claim",2015-05-21 08:18:56,Cabledrum
WL: The court didn’t explain the decision in any way. We have to wait for the written reasons for the judgment,2015-05-21 10:55:26,Cabledrum
PC intends to appeal against the judgement by all means,2015-05-21 10:58:03,Cabledrum
I still don’t have a court decision. The clerk’s office of the court was closed today for unknown reasons.,2015-05-22 08:13:16,Cabledrum
"Monday is a bank holiday in Germany, so we have to wait until Tuesday",2015-05-22 08:13:23,Cabledrum
