text,date,user
"Glad to see all. I’ll pick up on the statement and RT. Hopefully, these attacks will fail spectacularly.",2015-05-01 14:43:19,LibertarianLibrarian
"Agree re Annie. I’m corresponding with @voidiss, she’s solid adn enthusiastic, but she’s very young. Might let her keep picking up from me.",2015-05-01 14:45:42,LibertarianLibrarian
I just tried to add Annie. Not sure if it did anything.,2015-05-01 15:11:02,LibertarianLibrarian
Tweeted out on https://wikileaks.org/Some-notes-on-the-new-WikiLeaks.html,2015-05-01 15:27:18,LibertarianLibrarian
"Oh good grief, that WLF tweet is patently absurd. How can anyone take then seriously? I guess I constantly underestimate people’s stupidity.",2015-05-02 08:16:12,LibertarianLibrarian
Them,2015-05-02 08:16:30,LibertarianLibrarian
"Enjoy the play, Emmy",2015-05-02 08:17:28,LibertarianLibrarian
"Re Lamo, is anyone still talking or listening to that <bleep>?",2015-05-02 08:19:08,LibertarianLibrarian
"Re the accusations about journalists in Ecuador, common attack, learned to ignore it. Correa is adored by his people & for good reason.",2015-05-02 08:20:36,LibertarianLibrarian
"His division of media into private, public, state is very interesting. One thing I really like is that media corps can’t buy other business.",2015-05-02 08:21:53,LibertarianLibrarian
I’m a free market believer but we need media separate from those interests.,2015-05-02 08:23:10,LibertarianLibrarian
"Hehe, we needed separation of press & state as well as separation of church & state.",2015-05-02 08:23:42,LibertarianLibrarian
"Anyway, fascinated by what Correa’s doing in Ecuador.",2015-05-02 08:25:17,LibertarianLibrarian
"Sorry I missed most of the above discussion until now. I agree with y’all, esp. what WL said about the gender representations.",2015-05-03 15:10:48,LibertarianLibrarian
"Emmy, glad to hear the show ‘ s good. Wish I could afford another summer trip to London but can’t this year.",2015-05-03 15:11:45,LibertarianLibrarian
That sounds great Emmy!,2015-05-03 21:34:43,LibertarianLibrarian
"Late, just dropped in, good night all. Tweeted the DM story. Wow, that’s horrific. And a good example of what JA is fighting.",2015-05-03 21:36:21,LibertarianLibrarian
"Oh, I doubt you were rude. I suspect they simply didn’t like what you said. Too bad you didn’t keep it. Could’ve blogged it & then we could",2015-05-04 09:16:43,LibertarianLibrarian
point out the Guardian’s hypocrisy in what they allow in their comments.,2015-05-04 09:17:00,LibertarianLibrarian
What you said all sounds rational and reasonable to me.,2015-05-04 09:17:10,LibertarianLibrarian
"But congrats on getting banned by the guardian, I’d take that as an ironic compliment. LOL",2015-05-04 09:17:32,LibertarianLibrarian
"not banned, but you know what I mean. Censored?",2015-05-04 09:17:55,LibertarianLibrarian
"Interesting tweet and article, Wiseup.",2015-05-04 09:19:30,LibertarianLibrarian
🙂,2015-05-04 09:20:37,LibertarianLibrarian
"I agree about the image. Besides, it represents who she was when she took action as a whistleblower and when she stood trial. That’s part of",2015-05-05 17:31:16,LibertarianLibrarian
Who she is today.,2015-05-05 17:31:27,LibertarianLibrarian
This ‘argument’ over the statue title and gender image seems ridiculous at best & at worst an attempt to steal attention from the real,2015-05-05 17:33:22,LibertarianLibrarian
Purpose and message of the artwork.,2015-05-05 17:33:34,LibertarianLibrarian
"I don’t like to see something that should be about human courage, integrity and truth be buried in an argument over how CM looks in it.",2015-05-05 17:35:42,LibertarianLibrarian
Most public photos of her are as the soldier in uniform.,2015-05-05 17:37:18,LibertarianLibrarian
"There’s this ‘trans’ twitter account that has been attacking courage to resist, wondering if that’s a troll, not real.",2015-05-05 17:38:34,LibertarianLibrarian
"Yes, I agree re the use of ‘he’ and didn’t she legally change her name?",2015-05-05 17:53:34,LibertarianLibrarian
"Regardless, she expressed her preference so that should be respected. But I think the artist meant well. It’s an adjustment, I occasionally",2015-05-05 18:01:25,LibertarianLibrarian
Forget and I try.,2015-05-05 18:01:39,LibertarianLibrarian
"The legal name change is a solid reason for using Chelsea. Perhaps ‘formerly Bradley’ might work – yes, we don’t really have good terms for",2015-05-05 18:09:41,LibertarianLibrarian
gender changes.,2015-05-05 18:09:58,LibertarianLibrarian
Or non-standard genders for that matter.,2015-05-05 18:10:59,LibertarianLibrarian
"Yes, that makes sense and will very likely be the same for Chelsea.",2015-05-05 18:11:47,LibertarianLibrarian
