text,date,user
Hi all. More comfortable discussing stuff in here to be honest.,2015-05-01 14:32:09,WISE Up Action
Ok to invite ‘Wales’,2015-05-01 15:16:15,WISE Up Action
H: ok cheers,2015-05-01 15:28:08,WISE Up Action
Night Jenny!,2015-05-01 15:28:21,WISE Up Action
https://m.youtube.com/watch?v=ao1yV7MGAnQ&feature=youtu.be,2015-05-03 00:48:43,WISE Up Action
Agree M and Wls,2015-05-03 01:02:21,WISE Up Action
"Think it’s clear that the artwork is from a ‘historical’ perspective. Dormino shouldn’t need to explain, but if he did clarify this…",2015-05-03 01:08:09,WISE Up Action
Would nullify the gender debate,2015-05-03 01:08:42,WISE Up Action
"G, yeah think they could lose that second sentence and the statement would be stronger. Would be enough to rebut criticism.",2015-05-03 01:26:29,WISE Up Action
"Agree CM camp need to be careful with PR people coming in, picking up narrative.",2015-05-03 01:29:49,WISE Up Action
[Tweet] https://twitter.com/Amets4/status/595192958586134528 Anyone seen this?,2015-05-04 05:11:52,WISE Up Action
FYI Re CM ‘approval’ for Davide Dormio statue as per previous discussion. It’s now up on CMSN which is some help http://www.chelseamanning.org/press/manning-assange-snowden-statue-unveiled-in-berlin,2015-05-05 16:07:28,WISE Up Action
"I think the ‘image’ is totally appropriate (and anyway who’s to say it’s a ‘male’ image, just cos it’s short hair & tros!).But I’m gonna",2015-05-05 16:10:32,WISE Up Action
email them again about changing name & he to she.That’s a clear line that shouldn’t be ignored however off putting to some ppl it may be.,2015-05-05 16:14:23,WISE Up Action
"Maybe,dunno.It’s crap anyway. And the image is fine.I dont think the use of Bradley and he is OK tho.It’s a very simple matter to correct it",2015-05-05 17:51:38,WISE Up Action
"That’s totally understandable of course – we all do. And yes, she legally changed her name over a year ago. I have just emailed thanking",2015-05-05 18:06:49,WISE Up Action
them and linked to her request http://wiseupaction.info/chelsea-mannings-public-letter-coming-out-as-trans-august-2013/,2015-05-05 18:09:27,WISE Up Action
won the world boxing heavyweight championship? the historical record is Mohammed Ali (Cassius Clay) not the other way round.,2015-05-05 18:11:00,WISE Up Action
"Hah, well Chelsea prefers trans* (with a * OK?) It’s a fucking minefield!! Lucky I noticed before we publd this http://wiseupaction.info/about-chelsea-manning/",2015-05-05 18:17:58,WISE Up Action
it’s just a matter of doing our best like with anything. What may?,2015-05-05 18:20:37,WISE Up Action
Oh right. Well there’s a world standard/protocol for treatment etc http://www.wpath.org/site_page.cfm?pk_association_webpage_menu=1352&pk_association_webpage=3947,2015-05-05 18:26:41,WISE Up Action
So agree. The power and abnegation of responsibility of media is so damaging. Imagine the good that could be done! It’s so depressing,2015-05-05 18:44:46,WISE Up Action
"It’s opened for me, M.",2015-05-05 18:47:54,WISE Up Action
"Yep, still blocked",2015-05-06 09:26:33,WISE Up Action
"Doesn’t look as though its damaged, which is good.",2015-05-06 12:28:03,WISE Up Action
It really pisses me off that the message on protesting the image is that girlie’s must have long hair ffs,2015-05-06 12:31:15,WISE Up Action
"wtf is that about?! How is it ‘male’? We females not allowed to wear trousers now, huh?",2015-05-06 12:37:23,WISE Up Action
Oh H lay off with the nightmares x,2015-05-06 13:12:55,WISE Up Action
"Precisely. A Barbie wig indeed. How much do we want to promote them, though? How much is it circulating w/o us? Shld we ignore? Or not?",2015-05-06 13:28:00,WISE Up Action
"Well that’s true Emmy, but she has come out. And I think it’s both but the person is integral to the idea you speak of.",2015-05-06 13:40:27,WISE Up Action
This is the letter we sent earlier http://wiseupaction.info/letter/,2015-05-06 13:55:37,WISE Up Action
now replied affirming.,2015-05-06 13:56:28,WISE Up Action
Chelsea Manning Support Network. And that they agreed with the request and how it was formulated. Hah! Me We’re making an attempt to update,2015-05-06 14:01:41,WISE Up Action
the whole site.So that will become a sep heading ‘Chelsea Manning’ on the menu. Other headings still to be written up ‘JA’ ‘The Docs’ etc,2015-05-06 14:04:07,WISE Up Action
Wrote what? D’you mean their write up on their website http://www.chelseamanning.org/press/manning-assange-snowden-statue-unveiled-in-berlin,2015-05-06 14:14:50,WISE Up Action
"Cheers, Em! Yes, I wrote http://wiseupaction.info/about-chelsea-manning/",2015-05-06 14:19:52,WISE Up Action
Oh praise indeed. TYVM. I have concentrated on following the case closely as I can.Good old Alexa.And there is a link to yr statement in it.,2015-05-06 14:29:17,WISE Up Action
"which we also thought singular (it’s under Court Martial heading) and have had on home page since it was pub’d… Yes, maybe we do need",2015-05-06 14:37:40,WISE Up Action
new flyer.,2015-05-06 14:37:59,WISE Up Action
I felt there was not a lot out there that was comprehensive & interesting so spent a lot of time on it.Very glad indeed you all like it! TY,2015-05-06 14:47:01,WISE Up Action
apparently I ‘changed the group name to hazelpress + 9’.It’s unintentional.Don’t know what I did or what it was before.Sorry. Am technodiv,2015-05-07 06:44:35,WISE Up Action
"Maybe SNP anti-austerity,anti-trident etc message winning so dramatically will have impact widening the parties, forcing some change",2015-05-07 18:59:16,WISE Up Action
"Oh God, give me anything to radicalise parties against Tories.",2015-05-07 19:12:17,WISE Up Action
Bless her (SNP) cotton socks. Blair’s endorsement kiss of death.,2015-05-07 20:20:46,WISE Up Action
Hope Labour losses (if they continue) don’t give the Labour right an excuse to say it all went wrong because they veered 1cm to the left!,2015-05-07 20:29:50,WISE Up Action
Yep-in some ways I think mass shout out coming from Scotland is greater hope for any change even if it’s bad news short term for rest o us,2015-05-07 20:37:19,WISE Up Action
It’s heartening that (whatever SNP is actually like) NS was strident for anti-austerity and that must be largely what the vote is for,2015-05-07 20:40:25,WISE Up Action
and the turnout in Scotland so big. I’m just relieved to see ANYTHING that gives hope that people will vote so vociferously for change,2015-05-07 20:42:24,WISE Up Action
Yeah-that’s exactly what I hope.And I don’t know how clear it is how much the vote in Scotland is for independence & how much agnst policies,2015-05-07 20:51:04,WISE Up Action
that have dominated in UK,2015-05-07 20:51:27,WISE Up Action
pointless!,2015-05-07 21:38:47,WISE Up Action
Thanks for the cable. I’m going to bed I think. Red wine & tiredness giving me heartburn; party politics & estab media giving me heartache!,2015-05-07 21:42:18,WISE Up Action
Night – nice to have yr companionship xx,2015-05-07 21:45:03,WISE Up Action
"Agree, W, but full mandate for continuation of same is dire. Immediate implications for people eg benefits,muslim community,nhs v upsetting.",2015-05-08 07:18:42,WISE Up Action
A change of gov does make the machine stutter a bit at least.,2015-05-08 07:18:51,WISE Up Action
"But we mostly do get at least two terms of anyone, don’t we?",2015-05-08 07:19:54,WISE Up Action
No-one needs to repeat Thatcher – it’s never been undone.,2015-05-08 07:59:30,WISE Up Action
May is an absolute nightmare.It’s just the sort of thing I meant.Tories pretend they don’t like stuff like this in opposition but in govt,2015-05-09 13:19:05,WISE Up Action
they’re rabid,2015-05-09 13:19:25,WISE Up Action
March2015 ‘..new extremism analysis unit is compiling list of LEGAL BUT UNACCEPTABLE individuals & groups: ‘The move goes far beyond current,2015-05-13 09:43:27,WISE Up Action
powers to ban violent extremist & terrorist orgs & paves way for range of non-violent legal orgs to be blacklisted http://www.theguardian.com/politics/2015/mar/23/home-office-to-blacklist-extremists-to-protect-public-sector,2015-05-13 09:45:41,WISE Up Action
Except. Not at Oxford or Cambridge Universities. http://www.theguardian.com/education/2015/mar/13/oxford-and-cambridge-unions-exempted-from-terror-ban-on-extremist-speakers,2015-05-13 09:47:41,WISE Up Action
