text,date,user
Thank you!,2015-08-25 02:32:53,voidiss
"Thanks, Emmy, already checked who’s in! Okay, so when I will find an interesting article, I will share with you all! 🙂",2015-08-25 02:44:27,voidiss
"Yes, I agree, Ditum’s article is really strange as an attack. It can be also interesting from another point of view, but the low blows against Assange and supporters are always the same and they’re put in even when they have nothing to do with the article itself. Also, I think Hyde’s “joke” is very telling: it isn’t a proper criticism so MediaLens can’t answer back, but still it pushes a dangerous (and too much rooted) smear. When they don’t know how to attack they use the “conspiracy/paranoia” card.",2015-08-25 07:40:37,voidiss
(Thank you Jenny!),2015-08-25 07:40:49,voidiss
Their nervousness for JV’s article shows that they know the piece is going to be full of lies/smears and so they feel the pressure of having,2015-08-25 10:35:46,voidiss
"to handle it properly, saving their face. If they kill it after http://justice4assange.com",2015-08-25 10:35:53,voidiss
"As has been noted, the article on Focus Ecuador was written by Villavicencio, who was convicted of defaming Correa and fled to US. I’m not commenting on his case, I’m just pointing out that US are surely very willing to use him as symbol of ‘bad Ecuador’s skewed free press right’ and that probably, since they’re hosting him, he’s playing by their side and has interest in writing an article like that. Surely MGT is super happy of it, so he can use it to smear over and over.",2015-08-25 14:52:40,voidiss
"Yes, his site is really absurd and exaggerated, it’d be impossible for people to believe it. But MGT likes to exploit the pointless “Assange doesn’t criticize Ecuador” card.",2015-08-25 15:05:12,voidiss
Wow! I want to see one of those crayfish (before the US will start a crusade to slay them all. lol),2015-08-25 23:07:44,voidiss
This article – and the related talk at the CCCamp15 – are really interesting (and quite terrifying): https://firstlook.org/theintercept/2015/08/26/way-gchq-obliterated-guardians-laptops-revealed-intended/,2015-08-26 11:37:11,voidiss
"Oh, I imagined it wasn’t your decision publishing on Gizmodo. Shame on the publisher.",2015-08-26 13:45:59,voidiss
Marian Radetzki has written an article about the Assange case: https://translate.googleusercontent.com/translate_c?depth=1&hl=en&nv=1&prev=search&rurl=translate.google.co.uk&sl=sv&u=http://detgodasamhallet.com/2015/08/27/gastskribent-marian-radetzki-julian-assange-annu-en-skandal-for-svenskt-rattsvasende/&usg=ALkJrhhXiG34vTVEpJPMAIA6l4AlDRqMUQ,2015-08-27 02:07:12,voidiss
"Also, I’ve found this PDF https://www.dfri.se/wp-content/uploads/2015/08/[email protected]_se to this http://www.regeringen.se/rattsdokument/statens-offentliga-utredningar/2015/03/sou-201531/",2015-08-27 05:31:40,voidiss
I thought that maybe knowing Sweden’s position on that issue may be useful.,2015-08-27 05:36:05,voidiss
"Oh, well… I was meaning in general; since data storage, how data can be used for law enforcement and the connection with privacy are important issues, knowing how Sweden hadles them may be useful in general, to have a more comprehensive view of Sweden itself. I wasn’t thinking about FOIAs, this PDF doesn’t seem to be about that, more about how Swedish regulations on data storage can be balanced with EU/ECHR laws.",2015-08-27 05:59:39,voidiss
"Thank you, Emmy!",2015-08-27 07:59:53,voidiss
Are they kidding? This is incredibly low also for Sweden. This is a mean mockery – giving a man the illusion of freedom for a day and then other jail he didn’t know anything about? Outrageous. There is no hope for Swedish justice system – not that I need further confirmations.,2015-08-27 12:39:17,voidiss
"Which newspaper would be willing to run the risk of publishing unverified material such as those alleged “Embassy spy reports”? These documents are likely to be false, which journalist would ever take the responsibility to publish them knowing the low reputation of WLF?",2015-08-27 23:31:53,voidiss
"(By the way, I hate when people do jokes like “I don’t think Assange will go anywhere in a hurry”. That’s inhuman.)",2015-08-27 23:31:56,voidiss
Newsweek has arrived! http://www.newsweek.com/emb-midnight-827-assange-what-wikileaks-teaches-us-about-how-us-operates-366364,2015-08-28 00:36:06,voidiss
"I think that being very nationalistic, Le Pen is also one of the strongest opposer of US control over France, so as a result she agrees with offering Assange asylum. But I think it’s positive too.",2015-08-28 02:54:05,voidiss
"Oh, sure, I’ll do! With diplomats, from which countries do you mean? US/UK or others?",2015-08-28 12:13:58,voidiss
"Okay, thank you! If someone needs it, I’ve found a list here: https://twitter.com/twiplomacy/lists/diplomats-missions/membershttps://twitter.com/Twiplomacy",2015-08-28 12:18:07,voidiss
You’re welcome!,2015-08-28 12:24:00,voidiss
"Yes, probably divide them would be better. I’ve found also this list: https://twitter.com/UN/lists/diplomatic-missions-to-un/membershttps://twitter.com/DiplomacyEdu/lists/diplomats-on-twitter/membershttps://twitter.com/Twiplomacy/lists/diplomatic-academies/members",2015-08-28 13:04:42,voidiss
"I start with “Diplomatic Academies” list, now.",2015-08-28 13:18:02,voidiss
"Thank you for the summary! If the article is like that, it’s really sad even if it’s not a smearing one. It shows one more time that there are too many people who don’t understand anything about WikiLeaks work, who think about Assange and other involved in this struggle as guys who fight just because they’re a sort of “we’re against everything just to be against” – which is so damn wrong -, or who don’t care about the important revelations at all. And all of this is so disappointing, even if it’s expectable, since many many people even refuse to inform themselves of get interested in these issues. And that’s why WL is so essential anyway.",2015-08-29 05:36:55,voidiss
And regarding Ball’s collaboration with MGT… I’m really curious to see if he will actually prove those documents are true.,2015-08-29 05:37:00,voidiss
"Wait, so are you making another FOI request to UK regarding assassination threats against Assange?",2015-08-29 07:28:08,voidiss
"Oh, okay, two FOIAs to two different govt bodies. Got it, thanks.",2015-08-29 07:35:28,voidiss
"Well, UK likes Glomar responses so much…",2015-08-29 07:35:35,voidiss
"Great, thank you. Here are some other articles about the interview and the assassination thing: TeleSUR: http://www.telesurtv.net/english/news/Assange-Lives-in-Fear-of-Kidnapping-Assassination-20150829-0004.htmlhttp://www.independent.co.uk/news/people/julian-assange-fears-hell-be-assassinated-if-he-leaves-the-ecuadorian-embassy-10478059.htmlhttp://www.theguardian.com/media/2015/aug/29/julian-assange-told-edward-snowdon-not-seek-asylum-in-latin-america?CMP=twt_gu",2015-08-29 07:45:48,voidiss
"I don’t like the tone of the article at all. The author manages to insert small ambiguous and unpleasant comments in many parts, and yes, it’s quite gossipy. But at least there are a few interesting points inside.",2015-08-29 08:56:55,voidiss
"Another poll in which Sweden Democrats got over 18% of the vote. “We should be establishment, we should dominate public debate” http://www.thelocal.se/20150829/sweden-democrat-leader-declares-we-will-run-the-country",2015-08-29 09:30:13,voidiss
"@m_cetera, may you ask to your contact with the Times’ subscription about this article too? http://www.thetimes.co.uk/tto/news/uk/article4525715.ece",2015-08-29 10:24:42,voidiss
Thank you very much!,2015-08-29 13:13:51,voidiss
"Yes, maybe it was better not to read “Count Assange”, that’s an all-smearing article. The best thing is seeing how they belittle with no decency the high security concerns over surveillance and monitoring, both on Assange himself and on Ana Alban with the bugging device.",2015-08-29 15:53:03,voidiss
"In an interview, William Blum says that “there’s a drone with Assange name on it” and that he is the enemy N°1 in US http://sputniknews.com/voiceofrussia/2013_01_28/There-is-a-drone-with-Assange-s-name-on-William-Blum/",2015-08-30 02:21:27,voidiss
"All this is so terrible and frightening. They should’t even dare to try to do something to him, fuck.",2015-08-30 02:24:29,voidiss
"Ops, that’s an old interview too, from 2013. But it’s in line with the assassination thing.",2015-08-30 02:37:42,voidiss
"No, it does, but only in few lines and without analyzing or even citing why it is so important and valuable. Again, Whittell concentrates more on the “gossip” part like trying to guess who has written the anonymous chapters. Of course.",2015-08-31 00:37:12,voidiss
"Wait, who has censored Focus Ecuador’s site?",2015-08-31 06:30:59,voidiss
"Thank you, clear now. In",2015-08-31 06:52:45,voidiss
"Thank you, clear now. It’s likely you’re right… That’s absolutely not a good thing when even Ecuador starts using JA in its political games.",2015-08-31 06:54:30,voidiss
"I’ve read it, I’m not referring to the DMCA notice against Focus Ecuador, I’m refferring to your initial point, that probably if Ares Rights have censored the site it’s because the documents are genuine. And that means they’re spying on him etc, so there may be an interest in using him for “political games” or something.",2015-08-31 07:01:15,voidiss
